season,season_type,Week,week_num,Date,home_team,away_team,home_team_norm,away_team_norm,home_team_suffix,away_team_suffix,home_conf,home_div_initial,away_conf,away_div_initial,home_div,away_div,same_conf,same_div,home_conf_enc,away_conf_enc,home_div_enc,away_div_enc,is_international,home_field_advantage_pts,pre_elo_home_cont,pre_elo_away_cont,elo_diff_cont,expected_home_win_prob,home_win_proba
2025,regular,17.0,17.0,2025-12-25,Kansas City Chiefs,Denver Broncos,Kansas City Chiefs,Denver Broncos,AFC-W,AFC-W,AFC,W,AFC,W,West,West,1,1,0,0,3,3,0,90.0,1696.5908913878477,1650.4357043956577,46.15518699219001,0.6864925522599195,0.5410866401929133
2025,regular,17.0,17.0,2025-12-28,Tennessee Titans,New Orleans Saints,Tennessee Titans,New Orleans Saints,AFC-S,NFC-S,AFC,S,NFC,S,South,South,0,1,0,1,2,2,0,-10.0,1190.6350080833158,1308.249308971207,-117.6143008878912,0.3241845754627448,0.40921007072818044
2025,regular,17.0,17.0,2025-12-28,Cincinnati Bengals,Arizona Cardinals,Cincinnati Bengals,Arizona Cardinals,AFC-N,NFC-W,AFC,N,NFC,W,North,West,0,0,0,1,1,3,0,-9.688954818700624,1509.2332184088773,1402.0935704538078,107.13964795506945,0.6366772466953182,0.6225838828552562
2025,regular,17.0,17.0,2025-12-28,Green Bay Packers,Baltimore Ravens,Green Bay Packers,Baltimore Ravens,NFC-N,AFC-N,NFC,N,AFC,N,North,North,0,1,1,0,1,1,0,90.0,1675.740292608502,1596.4632722599083,79.27702034859362,0.72600297403625,0.6686508867185303
2025,regular,17.0,17.0,2025-12-28,Carolina Panthers,Seattle Seahawks,Carolina Panthers,Seattle Seahawks,NFC-S,NFC-W,NFC,S,NFC,W,South,West,1,0,1,1,2,3,0,-10.0,1349.167695592134,1646.4437979537477,-297.27610236161377,0.1456887077012356,0.2624474592050415
2025,regular,17.0,17.0,2025-12-28,Cleveland Browns,Pittsburgh Steelers,Cleveland Browns,Pittsburgh Steelers,AFC-N,AFC-N,AFC,N,AFC,N,North,North,1,1,0,0,1,1,0,46.60424669791215,1307.7824788070905,1476.6719649349352,-168.88948612784475,0.3309413791367563,0.355688000084151
2025,regular,17.0,17.0,2025-12-28,Los Angeles Chargers,Houston Texans,Los Angeles Chargers,Houston Texans,AFC-W,AFC-S,AFC,W,AFC,S,West,South,1,0,0,0,3,2,0,-9.467234568102633,1541.6729889375115,1618.369037837316,-76.69604889980451,0.37848214747347414,0.34138846540751727
2025,regular,17.0,17.0,2025-12-28,Miami Dolphins,Tampa Bay Buccaneers,Miami Dolphins,Tampa Bay Buccaneers,AFC-E,NFC-S,AFC,E,NFC,S,East,South,0,0,0,1,0,2,0,90.0,1442.2960578906586,1544.6846081794597,-102.38855028880107,0.4821789950669405,0.40419798581155597
2025,regular,17.0,17.0,2025-12-28,Indianapolis Colts,Jacksonville Jaguars,Indianapolis Colts,Jacksonville Jaguars,AFC-S,AFC-S,AFC,S,AFC,S,South,South,1,1,0,0,2,2,0,39.51273991373952,1494.317899610642,1488.9324608433517,5.385438767290225,0.564256383079645,0.613789278094095
2025,regular,17.0,17.0,2025-12-28,Las Vegas Raiders,New York Giants,Las Vegas Raiders,New York Giants,AFC-W,NFC-E,AFC,W,NFC,E,West,East,0,0,0,1,3,0,0,-10.0,1277.255769955593,1299.4510719151358,-22.195301959542803,0.4537994003643611,0.5026582502302819
2025,regular,17.0,17.0,2025-12-28,New York Jets,New England Patriots,New York Jets,New England Patriots,AFC-E,AFC-E,AFC,E,AFC,E,East,East,1,1,0,0,0,0,0,-10.0,1350.0861702324285,1532.6602776434836,-182.57410741105514,0.24814211955815701,0.2188376698548205
2025,regular,17.0,17.0,2025-12-28,Buffalo Bills,Philadelphia Eagles,Buffalo Bills,Philadelphia Eagles,AFC-E,NFC-E,AFC,E,NFC,E,East,East,0,1,0,1,0,0,0,90.0,1688.7001223536554,1697.5582565442494,-8.858134190594,0.6146947975435062,0.5074489701495832
